2026-03-03 07:11:59  INFO      ============================================================
2026-03-03 07:11:59  INFO      Red Line Collector | routeID=20 | poll=15s | timeout=10s
2026-03-03 07:11:59  INFO      CSV  : /home/hty/Documents/Working Projects/stinger-delay/Platform/red_line/data/red_line_data.csv
2026-03-03 07:11:59  INFO      Log  : /home/hty/Documents/Working Projects/stinger-delay/Platform/red_line/data/red_line_collector.log
2026-03-03 07:11:59  INFO      ============================================================
2026-03-03 07:11:59  INFO      Created CSV with headers: /home/hty/Documents/Working Projects/stinger-delay/Platform/red_line/data/red_line_data.csv
2026-03-03 07:23:50  INFO      HEARTBEAT | snapshot=2026-03-03 12:23:50 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:24:06  INFO      HEARTBEAT | snapshot=2026-03-03 12:24:05 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:24:21  INFO      HEARTBEAT | snapshot=2026-03-03 12:24:21 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:24:36  INFO      HEARTBEAT | snapshot=2026-03-03 12:24:36 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:24:51  INFO      HEARTBEAT | snapshot=2026-03-03 12:24:51 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:25:07  INFO      HEARTBEAT | snapshot=2026-03-03 12:25:06 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:25:22  INFO      HEARTBEAT | snapshot=2026-03-03 12:25:22 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:25:37  INFO      HEARTBEAT | snapshot=2026-03-03 12:25:37 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:25:53  INFO      HEARTBEAT | snapshot=2026-03-03 12:25:52 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:26:08  INFO      HEARTBEAT | snapshot=2026-03-03 12:26:08 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:26:23  INFO      HEARTBEAT | snapshot=2026-03-03 12:26:23 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:26:38  INFO      HEARTBEAT | snapshot=2026-03-03 12:26:38 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:26:54  INFO      HEARTBEAT | snapshot=2026-03-03 12:26:53 | vehicles=1 | rows=1 | errors=0
